,fold,f1,auc,tpr,fpr,p-total,n-total,tp,fp,best_itr
0,0,0.2619047619047619,0.9462412654534285,0.88,0.08362128541810643,75,4341,66,363,48
0,1,0.16393442622950818,0.9139222619299202,0.684931506849315,0.11213446926087958,73,4343,50,487,48
0,2,0.1623931623931624,0.9146187514397605,0.76,0.13130615065653076,75,4341,57,570,48
0,3,0.2774566473988439,0.9571658863740808,0.75,0.05376838235294118,64,4352,48,234,48
0,4,0.07393715341959335,0.860110382600487,0.8163265306122449,0.22738722234943898,49,4367,40,993,48
0,0,0.2356687898089172,0.9324614560578055,0.8409090909090909,0.10767097966728281,88,4328,74,466,43
0,1,0.21897810218978103,0.9376622434463899,0.821917808219178,0.09555606723463043,73,4343,60,415,43
0,2,0.1343669250645995,0.9308184390432506,0.6666666666666666,0.07356636965958419,39,4377,26,322,43
0,3,0.10761154855643044,0.9004628112712976,0.7321428571428571,0.15252293577981652,56,4360,41,665,43
0,4,0.4247104247104247,0.9750968411157392,0.7746478873239436,0.030609896432681243,71,4345,55,133,43
