tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,WMT,0.99274224,0,0,0,0
2023-02-02,WMT,0.986701,0,0,0,0
2023-02-03,WMT,0.9927316,0,0,0,0
2023-02-06,WMT,1.0021325,0,0,0,0
2023-02-07,WMT,0.99460936,0,0,0,0
2023-02-08,WMT,1.0092709,0,0,0,0
2023-02-09,WMT,1.0155456,0,0,0,0
2023-02-10,WMT,1.0152379,0,0,0,0
2023-02-13,WMT,0.9971215,0,0,0,0
2023-02-14,WMT,1.0074232,0,0,0,0
2023-02-15,WMT,0.9843079,0,0,0,0
2023-02-16,WMT,1.0150412,0,0,0,0
2023-02-17,WMT,1.0060776,0,0,0,0
2023-02-21,WMT,0.9790267,0,0,0,0
2023-02-22,WMT,0.9850943,0,0,0,0
2023-02-23,WMT,1.0026743,0,0,0,0
2023-02-24,WMT,0.99277043,0,0,0,0
2023-02-27,WMT,1.0048784,0,0,0,0
2023-02-28,WMT,0.986069,0,0,0,0
2023-03-01,WMT,1.0024972,0,0,0,0
2023-03-02,WMT,1.0012101,0,0,0,0
2023-03-03,WMT,0.9998578,0,0,0,0
2023-03-06,WMT,0.9900462,0,0,0,0
2023-03-07,WMT,0.99174136,0,0,0,0
2023-03-08,WMT,0.9932659,0,0,0,0
2023-03-09,WMT,0.9985419,0,0,0,0
2023-03-10,WMT,1.0029203,0,0,0,0
2023-03-13,WMT,1.005314,0,0,0,0
2023-03-14,WMT,1.0111513,0,0,0,0
2023-03-15,WMT,0.99431944,0,0,0,0
2023-03-16,WMT,1.0080996,0,0,0,0
2023-03-17,WMT,1.0107604,0,0,0,0
2023-03-20,WMT,0.9965934,0,0,0,0
2023-03-21,WMT,0.99359065,0,0,0,0
2023-03-22,WMT,1.0080992,0,0,0,0
2023-03-23,WMT,1.0081763,0,0,0,0
2023-03-24,WMT,1.0167136,0,0,0,0
2023-03-27,WMT,0.9961156,0,0,0,0
2023-03-28,WMT,1.0043174,0,0,0,0
2023-03-29,WMT,1.009984,0,0,0,0
2023-03-30,WMT,1.0122194,0,0,0,0
