tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,WMT,0.48648143,0,0,0,0
2023-02-02,WMT,0.47892764,0,0,0,0
2023-02-03,WMT,0.46518674,0,0,0,0
2023-02-06,WMT,0.45777667,0,0,0,0
2023-02-07,WMT,0.4599349,0,0,0,0
2023-02-08,WMT,0.4544675,0,0,0,0
2023-02-09,WMT,0.4638197,0,0,0,0
2023-02-10,WMT,0.47964707,0,0,0,0
2023-02-13,WMT,0.4954023,0,0,0,0
2023-02-14,WMT,0.4923807,0,0,0,0
2023-02-15,WMT,0.50015044,0,1,0,0
2023-02-16,WMT,0.48360384,0,0,0,0
2023-02-17,WMT,0.49921516,0,0,0,0
2023-02-21,WMT,0.5056181,1,1,0,0
2023-02-22,WMT,0.48338807,0,0,0,0
2023-02-23,WMT,0.46792057,0,0,0,0
2023-02-24,WMT,0.4706544,0,0,0,0
2023-02-27,WMT,0.46324438,0,0,0,0
2023-02-28,WMT,0.4682084,0,0,0,0
2023-03-01,WMT,0.45396388,0,0,0,1
2023-03-02,WMT,0.45648175,0,0,0,0
2023-03-03,WMT,0.45770487,0,0,0,0
2023-03-06,WMT,0.45756096,0,0,0,0
2023-03-07,WMT,0.44748908,0,0,0,1
2023-03-08,WMT,0.43921566,0,0,0,1
2023-03-09,WMT,0.43252525,0,0,0,1
2023-03-10,WMT,0.43108633,0,0,1,1
2023-03-13,WMT,0.43396398,0,0,0,0
2023-03-14,WMT,0.43921566,0,0,0,0
2023-03-15,WMT,0.4502947,0,0,0,0
2023-03-16,WMT,0.44458804,0,0,0,0
2023-03-17,WMT,0.45267856,0,0,0,0
2023-03-20,WMT,0.46351406,0,0,0,0
2023-03-21,WMT,0.46004677,0,0,0,0
2023-03-22,WMT,0.45354545,0,0,0,0
2023-03-23,WMT,0.4617082,0,0,0,0
2023-03-24,WMT,0.47001544,0,0,0,0
2023-03-27,WMT,0.48713544,0,1,0,0
2023-03-28,WMT,0.48309013,0,0,0,0
2023-03-29,WMT,0.48756894,0,1,0,0
2023-03-30,WMT,0.497971,0,1,0,0
2023-03-31,WMT,0.5108291,0,1,0,0
2023-04-03,WMT,0.51978636,0,1,0,0
2023-04-04,WMT,0.5092398,0,0,0,0
2023-04-05,WMT,0.5268656,0,1,0,0
2023-04-06,WMT,0.53502834,0,1,0,0
2023-04-10,WMT,0.5329335,0,0,0,0
2023-04-11,WMT,0.52975506,0,0,0,0
2023-04-12,WMT,0.52448183,0,0,0,0
2023-04-13,WMT,0.5255654,0,0,0,0
2023-04-14,WMT,0.5182694,0,0,0,0
2023-04-17,WMT,0.5257821,0,0,0,0
2023-04-18,WMT,0.5281658,0,0,0,0
2023-04-19,WMT,0.5293217,0,0,0,0
2023-04-20,WMT,0.5362564,0,1,0,0
2023-04-21,WMT,0.5417465,0,1,0,0
2023-04-24,WMT,0.5491867,0,1,0,0
2023-04-25,WMT,0.5405907,0,0,0,0
2023-04-26,WMT,0.5358229,0,0,0,0
2023-04-27,WMT,0.539218,0,0,0,0
2023-04-28,WMT,0.5362564,0,0,0,0
2023-05-01,WMT,0.5407351,0,0,0,0
2023-05-02,WMT,0.5377734,0,0,0,0
2023-05-03,WMT,0.5337281,0,0,0,0
2023-05-04,WMT,0.5367736,0,0,0,0
2023-05-05,WMT,0.54620016,0,0,0,0
2023-05-08,WMT,0.5530886,0,1,0,0
2023-05-09,WMT,0.55497384,0,0,0,0
2023-05-10,WMT,0.5518558,0,0,0,0
2023-05-11,WMT,0.5559891,1,0,0,0
2023-05-12,WMT,0.5556265,0,0,0,0
2023-05-15,WMT,0.54699767,0,0,0,0
2023-05-16,WMT,0.5317703,0,0,0,0
2023-05-17,WMT,0.52995753,0,0,0,0
2023-05-18,WMT,0.5440247,0,0,0,0
2023-05-19,WMT,0.5327129,0,0,0,0
2023-05-22,WMT,0.52314144,0,0,0,1
2023-05-23,WMT,0.5211113,0,0,0,1
2023-05-24,WMT,0.51618046,0,0,0,1
2023-05-25,WMT,0.5055213,0,0,0,1
2023-05-26,WMT,0.5074066,0,0,0,0
2023-05-30,WMT,0.50479615,0,0,1,0
2023-05-31,WMT,0.5106695,0,0,0,0
2023-06-01,WMT,0.51458514,0,0,0,0
2023-06-02,WMT,0.5248092,0,0,0,0
2023-06-05,WMT,0.5319153,0,0,0,0
2023-06-06,WMT,0.5317703,0,0,0,0
2023-06-07,WMT,0.5333656,0,0,0,0
2023-06-08,WMT,0.54910046,0,0,0,0
2023-06-09,WMT,0.5557714,0,1,0,0
2023-06-12,WMT,0.5630951,0,1,0,0
2023-06-13,WMT,0.57179636,0,1,0,0
2023-06-14,WMT,0.5831808,0,1,0,0
2023-06-15,WMT,0.5894166,0,1,0,0
2023-06-16,WMT,0.5734642,0,0,0,0
2023-06-20,WMT,0.5635302,0,0,0,0
2023-06-21,WMT,0.56570554,0,0,0,0
2023-06-22,WMT,0.5750595,0,0,0,0
2023-06-23,WMT,0.5729566,0,0,0,0
2023-06-26,WMT,0.5699836,0,0,0,0
2023-06-27,WMT,0.565923,0,0,0,0
2023-06-28,WMT,0.57201403,0,0,0,0
2023-06-29,WMT,0.5644003,0,0,0,0
2023-06-30,WMT,0.58542854,0,0,0,0
2023-07-03,WMT,0.59282464,0,1,0,0
2023-07-05,WMT,0.5921721,0,0,0,0
2023-07-06,WMT,0.58492094,0,0,0,0
2023-07-07,WMT,0.55867195,0,0,0,0
2023-07-10,WMT,0.568751,0,0,0,0
2023-07-11,WMT,0.5670832,0,0,0,0
2023-07-12,WMT,0.56991106,0,0,0,0
2023-07-13,WMT,0.56331265,0,0,0,0
2023-07-14,WMT,0.5671558,0,0,0,0
2023-07-17,WMT,0.5685334,0,0,0,0
2023-07-18,WMT,0.5665032,0,0,0,0
2023-07-19,WMT,0.5668656,0,0,0,0
2023-07-20,WMT,0.5876038,0,0,0,0
2023-07-21,WMT,0.5940574,0,0,0,0
2023-07-24,WMT,0.6008008,0,1,0,0
2023-07-25,WMT,0.5998582,0,0,0,0
2023-07-26,WMT,0.6039914,0,1,0,0
2023-07-27,WMT,0.5997857,0,0,0,0
2023-07-28,WMT,0.605224,0,1,0,0
2023-07-31,WMT,0.60486156,0,0,0,0
2023-08-01,WMT,0.59942317,0,0,0,0
2023-08-02,WMT,0.6002207,0,0,0,0
2023-08-03,WMT,0.60051084,0,0,0,0
2023-08-04,WMT,0.5938398,0,0,0,0
2023-08-07,WMT,0.6094296,0,1,0,0
2023-08-08,WMT,0.61058986,0,1,0,0
2023-08-09,WMT,0.61247516,0,1,0,0
2023-08-10,WMT,0.611893,0,0,0,0
2023-08-11,WMT,0.6187332,0,1,0,0
2023-08-14,WMT,0.610001,0,0,0,0
2023-08-15,WMT,0.604034,0,0,0,0
2023-08-16,WMT,0.6046161,0,0,0,0
2023-08-17,WMT,0.5786376,0,0,0,1
2023-08-18,WMT,0.5949378,0,0,0,0
2023-08-21,WMT,0.59188163,0,0,0,0
2023-08-22,WMT,0.5882432,0,0,0,0
2023-08-23,WMT,0.5961749,0,0,0,0
2023-08-24,WMT,0.5873699,0,0,0,0
2023-08-25,WMT,0.59413743,0,0,0,0
2023-08-28,WMT,0.6006866,0,0,0,0
2023-08-29,WMT,0.61036485,0,0,0,0
2023-08-30,WMT,0.6187332,0,0,0,0
2023-08-31,WMT,0.6289937,0,1,0,0
2023-09-01,WMT,0.6214256,0,0,0,0
2023-09-05,WMT,0.6119658,0,0,0,0
2023-09-06,WMT,0.6206981,0,0,0,0
2023-09-07,WMT,0.6352519,0,1,0,0
2023-09-08,WMT,0.63743496,0,0,0,0
2023-09-11,WMT,0.64158267,0,0,0,0
2023-09-12,WMT,0.6428925,0,0,0,0
2023-09-13,WMT,0.6431835,0,1,0,0
2023-09-14,WMT,0.6482046,1,1,0,0
2023-09-15,WMT,0.64376575,0,0,0,0
2023-09-18,WMT,0.634888,0,0,0,0
2023-09-19,WMT,0.6345969,0,0,0,0
2023-09-20,WMT,0.63845366,0,0,0,0
2023-09-21,WMT,0.62397254,0,0,0,0
2023-09-22,WMT,0.6271018,0,0,0,0
2023-09-25,WMT,0.6323411,0,0,0,0
2023-09-26,WMT,0.62819314,0,0,0,0
2023-09-27,WMT,0.6225172,0,0,0,0
2023-09-28,WMT,0.62848437,0,0,0,0
2023-09-29,WMT,0.6094916,0,0,0,1
2023-10-02,WMT,0.6107287,0,0,0,0
2023-10-03,WMT,0.603379,0,0,0,1
2023-10-04,WMT,0.6172778,0,0,0,0
2023-10-05,WMT,0.6033063,0,0,0,0
2023-10-06,WMT,0.583877,0,0,0,0
2023-10-09,WMT,0.5797292,0,0,1,0
2023-10-10,WMT,0.5925365,0,0,0,0
2023-10-11,WMT,0.5971209,0,0,0,0
2023-10-12,WMT,0.60236025,0,0,0,0
2023-10-13,WMT,0.60876405,0,0,0,0
2023-10-16,WMT,0.618806,0,0,0,0
2023-10-17,WMT,0.62033427,0,0,0,0
2023-10-18,WMT,0.6212074,0,0,0,0
2023-10-19,WMT,0.6156043,0,0,0,0
2023-10-20,WMT,0.60097766,0,0,0,0
2023-10-23,WMT,0.6173505,0,0,0,0
2023-10-24,WMT,0.63365096,0,0,0,0
2023-10-25,WMT,0.63008523,0,0,0,0
2023-10-26,WMT,0.62288105,0,0,0,0
2023-10-27,WMT,0.6185149,0,0,0,0
2023-10-30,WMT,0.63197714,0,0,0,0
2023-10-31,WMT,0.6348153,0,0,0,0
2023-11-01,WMT,0.6454395,0,1,0,0
2023-11-02,WMT,0.6501694,0,1,0,0
2023-11-03,WMT,0.6439112,0,0,0,0
2023-11-06,WMT,0.6455122,0,0,0,0
2023-11-07,WMT,0.6511154,0,0,0,0
2023-11-08,WMT,0.6412915,0,0,0,0
2023-11-09,WMT,0.6385264,0,0,0,0
2023-11-10,WMT,0.6550449,0,0,0,0
2023-11-13,WMT,0.6658875,0,1,0,0
2023-11-14,WMT,0.6656691,0,0,0,0
2023-11-15,WMT,0.68116903,1,1,0,0
2023-11-16,WMT,0.5811845,0,0,0,0
2023-11-17,WMT,0.5761635,0,0,0,1
2023-11-20,WMT,0.5757997,0,0,0,1
2023-11-21,WMT,0.5798747,0,0,0,0
2023-11-22,WMT,0.57121515,0,0,0,1
2023-11-24,WMT,0.5813301,0,0,0,0
2023-11-27,WMT,0.5864967,0,0,0,0
2023-11-28,WMT,0.60010445,0,0,0,0
2023-11-29,WMT,0.5814756,0,0,0,0
2023-11-30,WMT,0.5786376,0,0,0,0
2023-12-01,WMT,0.5688138,0,0,0,0
2023-12-04,WMT,0.5685228,0,0,0,0
2023-12-05,WMT,0.57892865,0,0,0,0
2023-12-06,WMT,0.5666309,0,0,0,0
2023-12-07,WMT,0.55925375,0,0,0,1
2023-12-08,WMT,0.5475675,0,0,1,1
2023-12-11,WMT,0.5503431,0,0,0,0
2023-12-12,WMT,0.5512195,0,0,0,0
2023-12-13,WMT,0.570867,0,0,0,0
2023-12-14,WMT,0.5571356,0,0,0,0
2023-12-15,WMT,0.56129897,0,0,0,0
2023-12-18,WMT,0.57758653,0,0,0,0
2023-12-19,WMT,0.5816769,0,0,0,0
2023-12-20,WMT,0.5683837,0,0,0,0
2023-12-21,WMT,0.57634497,0,0,0,0
2023-12-22,WMT,0.5898572,0,0,0,0
2023-12-26,WMT,0.5881042,0,0,0,0
2023-12-27,WMT,0.59884095,0,0,0,0
2023-12-28,WMT,0.59657687,0,0,0,0
2023-12-29,WMT,0.5971611,0,0,0,0
